week,collected_date,environmental_location,microcystin,x16s,mcy_a_m,mcy_a_p,mcy_a_a,doc_ppm,tkp_mg_p_l,tkn_mg_n_l,cl_mg_cl_l,p_h,mcya_16s,category_d,category_d_ahead,ortho_p_mg_p_l,month(collected_date)
1,2018-05-22,Backbone Beach,0.63,147000,0,0,0,5.848,1.609,0.66,18.76,8.1,0,1,1,0.0105,5
5,2018-06-19,Backbone Beach,0.46,423,0,0,0,1.45,1.056,0.517,19.203,8.8,0,1,1,0.0776666666666667,6
14,2018-08-21,Backbone Beach,0.438,40400000,0,0,0,2.151,1.064,0.169,16.674,8.9,0,1,1,0.02425,8
8,2018-07-10,Backbone Beach,0.425,10800000,1240,0,0,1.908,1.219,0.505,17.916,8.2,0.000114814814814815,1,1,0.0526777777777778,7
15,2018-08-28,Backbone Beach,0.418,7650000,0,0,0,1.728,1.019,1.142,17.507,8.8,0,1,1,0.02425,8
13,2018-08-14,Backbone Beach,0.405,44600000,0,0,0,1.499,1.147,0.298,16.958,8,0,1,1,0.02425,8
12,2018-08-07,Backbone Beach,0.39,26600000,0,0,0,5.678,0.922,-0.24,7.969,7.7,0,1,1,0.02425,8
10,2018-07-24,Backbone Beach,0.3,5040000,0,0,0,2.347,0.041,0.233,20.777,8.9,0,1,1,0.0526777777777778,7
11,2018-07-31,Backbone Beach,0.237,10900000,432,0,0,1.472,0.491,0.264,9.587,8.5,3.96330275229358e-05,1,1,0.0526777777777778,7
7,2018-07-02,Backbone Beach,0.205,6090000,0,0,0,2.18,1.119,0.437,17.63,7.9,0,1,1,0.0526777777777778,7
4,2018-06-12,Backbone Beach,0.165,4440000,0,0,0,2.583,1.217,0.569,19.018,7.28,0,1,1,0.0776666666666667,6
9,2018-07-17,Backbone Beach,0.155,1.2e+07,0,0,0,1.869,1.69452079566004,0.167,11.682,7.09,0,1,1,0.0526777777777778,7
2,2018-05-29,Backbone Beach,0.153,1760000,0,0,0,7.288,1.382,0.458,20.334,7.85,0,1,1,0.0105,5
6,2018-06-26,Backbone Beach,0.13,4960000,31700,51300,0,1.55,1.246,0.348,8.366,7.7,0.00639112903225806,1,1,0.0776666666666667,6
3,2018-06-05,Backbone Beach,0.121,2190000,0,0,0,1.694,1.327,0.423,21.218,8.01,0,1,NA,0.0776666666666667,6
13,2018-08-15,Beed's Lake Beach,0.635,14100000,48600,0,0,4.01,1.065,0.438,14.101,7.7,0.0034468085106383,1,1,0.09825,8
4,2018-06-13,Beed's Lake Beach,0.538,10800000,18000,0,0,2.619,1.559,0.334,14.674,8,0.00166666666666667,1,1,0.0668333333333333,6
12,2018-08-08,Beed's Lake Beach,0.488,8190000,5170,0,0,4.2205,0.75,-0.172,9.451,8.2,0.000631257631257631,1,1,0.09825,8
15,2018-08-29,Beed's Lake Beach,0.435,0,0,0,0,5.505,1.294,0.02,9.392,7.6,0.0877618558077183,1,1,0.09825,8
1,2018-05-23,Beed's Lake Beach,0.402,3340000,0,0,0,2.769,1.243,0.495,17.091,8.5,0,1,1,0.15,5
14,2018-08-22,Beed's Lake Beach,0.377,33100000,38200,0,0,4.764,1.224,0.197,15.852,7.8,0.00115407854984894,1,1,0.09825,8
7,2018-07-03,Beed's Lake Beach,0.31,8410000,462,0,0,2.736,1.111,0.503,14.723,7.8,5.49346016646849e-05,1,1,0.0560222222222222,7
2,2018-05-30,Beed's Lake Beach,0.195,8040000,882,0,0,2.925,1.308,0.458,16.834,8.7,0.000109701492537313,1,1,0.15,5
11,2018-08-01,Beed's Lake Beach,0.153,18800000,7820,0,0,4.134,0.145,0.255,3.396,8.1,0.000415957446808511,1,1,0.09825,8
5,2018-06-20,Beed's Lake Beach,0.108,9270000,1960,0,0,3.105,1.113,0.416,13.422,7.7,0.00021143473570658,1,1,0.0668333333333333,6
3,2018-06-06,Beed's Lake Beach,0.075,5280000,0,0,0,2.712,1.867,0.143,16.445,7.7,0,1,1,0.0668333333333333,6
