sample_site,open_water,barren_land,shrub_scrub,herbaceuous,hay_pasture,cultivated_crops,wetlands_sum,developed_sum,forest_sum
Backbone Beach,0.06,0,0,0.07,0.04,0.35,0.01,0.09,0.37
Beed's Lake Beach,0.11,0,0,0.03,0.08,0.52,0.09,0.12,0.04
Big Creek Beach,0.11,0,0,0.08,0.19,0.16,0.03,0.14,0.27
Black Hawk Beach,0.45,0,0,0,0,0.33,0.08,0.13,0
Brushy Creek Beach,0.29,0.01,0,0.17,0.03,0.04,0.02,0.06,0.38
Clear Lake Beach,0.96,0,0,0,0,0,0,0.04,0
Crandall's Beach,0.83,0,0.01,0.02,0,0.01,0.02,0.07,0.04
Denison Beach,0.37,0,0,0,0.01,0.3,0.1,0.22,0
Emerson Bay Beach,0.43,0,0,0.12,0.05,0.08,0.13,0.15,0.02
George Wyth Beach,0.17,0,0,0.04,0.03,0.02,0.32,0.43,0
Green Valley Beach,0.21,0,0,0.01,0.25,0.34,0.05,0.07,0.09
Gull Point Beach,0.76,0,0,0,0,0,0.04,0.09,0.1
Honey Creek Resort Beach,0.25,0.01,0,0.04,0.06,0,0.03,0.19,0.42
Lacey-Keosauqua Beach,0.06,0,0,0,0.01,0,0,0.06,0.86
Lake Ahquabi Beach,0.14,0,0,0.02,0.01,0.2,0.07,0.07,0.47
Lake Anita Beach,0.19,0,0,0.02,0.31,0.11,0.01,0.2,0.16
Lake Darling Beach,0.14,0,0.02,0.07,0.16,0.11,0.01,0.03,0.45
Lake Keomah Beach,0.1,0,0,0,0.2,0.36,0.02,0.12,0.19
Lake Macbride Beach,0.42,0,0,0.01,0,0,0,0.09,0.47
Lake Manawa Beach,0.7,0,0,0.04,0,0.03,0.04,0.19,0
Lake of Three Fires Beach,0.14,0,0,0.02,0.28,0.01,0,0.07,0.46
Lake Wapello Beach,0.2,0,0,0.01,0.17,0,0.02,0.09,0.51
Lewis and Clark (Blue Lake) Beach,0.18,0,0,0.07,0.01,0.4,0.23,0.13,0
Lower Pine Lake Beach,0.13,0,0,0.01,0.11,0.29,0,0.13,0.31
Marble Beach,0.54,0.01,0,0.14,0,0.05,0.11,0.06,0.08
McIntosh Woods Beach,0.48,0,0,0.03,0.02,0.16,0.16,0.13,0.03
Nine Eagles Beach,0.09,0,0,0,0.2,0.15,0.01,0.06,0.49
North Twin Lake East Beach,0.23,0,0,0.02,0.06,0.39,0.12,0.18,0
North Twin Lake West Beach,0.23,0,0,0.02,0.06,0.39,0.12,0.18,0
Pleasant Creek,0.34,0,0,0.01,0.11,0.08,0.3,0.05,0.12
Pike's Point Beach,0.63,0,0.01,0.18,0,0,0.03,0.11,0.04
Prairie Rose Beach,0.14,0,0.01,0.04,0.11,0.55,0.01,0.09,0.05
Red Haw Beach,0.12,0,0.03,0.01,0.31,0.07,0.02,0.09,0.36
Rock Creek Beach,0.29,0,0.03,0.02,0.19,0.14,0.02,0.12,0.2
Springbrook Beach,0.03,0,0,0.03,0.04,0.06,0.11,0.11,0.63
Triboji Beach,0.96,0,0,0,0,0,0,0.01,0.02
Union Grove Beach,0.12,0.01,0.01,0.03,0.11,0.45,0.01,0.08,0.18
Viking Lake Beach,0.15,0,0,0.01,0.22,0.12,0,0.07,0.42
