STATION,DATE,AWND,EVAP,ADPT
USC00136910,2018-05-01,72,89,NA
USC00136910,2018-05-02,36,10,NA
USC00136910,2018-05-03,0,89,NA
USC00136910,2018-05-04,36,48,NA
USC00136910,2018-05-05,4,107,NA
USC00136910,2018-05-06,4,91,NA
USC00136910,2018-05-07,0,66,NA
USC00136910,2018-05-08,40,71,NA
USC00136910,2018-05-09,31,41,NA
USC00136910,2018-05-10,4,97,NA
USC00136910,2018-05-11,18,84,NA
USC00136910,2018-05-12,40,38,NA
USC00136910,2018-05-13,18,46,NA
USC00136910,2018-05-14,40,18,NA
USC00136910,2018-05-15,22,23,NA
USC00136910,2018-05-16,18,38,NA
USC00136910,2018-05-17,13,36,NA
USC00136910,2018-05-18,22,84,NA
USC00136910,2018-05-19,0,36,NA
USC00136910,2018-05-20,18,38,NA
USC00136910,2018-05-21,4,20,NA
USC00136910,2018-05-22,0,30,NA
USC00136910,2018-05-24,18,58,NA
USC00136910,2018-05-25,72,66,NA
USC00136910,2018-05-27,27,51,NA
USC00136910,2018-05-28,4,61,NA
USC00136910,2018-05-30,4,36,NA
USC00136910,2018-05-31,40,71,NA
USC00136910,2018-06-01,9,71,NA
USC00136910,2018-06-02,49,79,NA
USC00136910,2018-06-03,18,61,NA
USC00136910,2018-06-04,0,97,NA
USC00136910,2018-06-05,13,74,NA
USC00136910,2018-06-06,0,38,NA
USC00136910,2018-06-07,0,102,NA
USC00136910,2018-06-08,9,46,NA
USC00136910,2018-06-09,13,51,NA
USC00136910,2018-06-10,27,76,NA
USC00136910,2018-06-11,13,46,NA
USC00136910,2018-06-12,13,79,NA
USC00136910,2018-06-13,40,61,NA
USC00136910,2018-06-15,27,46,NA
USC00136910,2018-06-16,36,76,NA
USC00136910,2018-06-17,22,79,NA
USC00136910,2018-06-18,31,76,NA
USC00136910,2018-06-19,4,74,NA
USC00136910,2018-06-20,22,132,NA
USC00136910,2018-06-21,13,48,NA
USC00136910,2018-06-22,45,8,NA
USC00136910,2018-06-23,4,38,NA
USC00136910,2018-06-24,18,15,NA
USC00136910,2018-06-25,18,53,NA
USC00136910,2018-06-26,18,25,NA
USC00136910,2018-06-27,9,36,NA
USC00136910,2018-06-28,18,58,NA
USC00136910,2018-06-29,27,8,NA
USC00136910,2018-06-30,31,102,NA
USC00136910,2018-07-01,40,107,NA
USC00136910,2018-07-02,4,61,NA
USC00136910,2018-07-03,27,69,NA
USC00136910,2018-07-04,0,51,NA
USC00136910,2018-07-05,4,74,NA
USC00136910,2018-07-06,22,69,NA
USC00136910,2018-07-07,9,71,NA
USC00136910,2018-07-08,0,56,NA
USC00136910,2018-07-09,13,76,NA
USC00136910,2018-07-10,4,69,NA
USC00136910,2018-07-11,27,69,NA
USC00136910,2018-07-12,18,74,NA
USC00136910,2018-07-13,22,76,NA
USC00136910,2018-07-14,0,208,NA
USC00136910,2018-07-15,0,43,NA
USC00136910,2018-07-16,18,61,NA
USC00136910,2018-07-17,0,58,NA
USC00136910,2018-07-18,13,61,NA
USC00136910,2018-07-19,9,69,NA
USC00136910,2018-07-20,49,56,NA
USC00136910,2018-07-21,18,71,NA
USC00136910,2018-07-22,27,66,NA
USC00136910,2018-07-23,18,33,NA
USC00136910,2018-07-24,31,58,NA
USC00136910,2018-07-25,9,71,NA
USC00136910,2018-07-26,13,38,NA
USC00136910,2018-07-27,4,66,NA
USC00136910,2018-07-28,0,58,NA
USC00136910,2018-07-29,0,249,NA
USC00136910,2018-07-30,0,79,NA
USC00136910,2018-07-31,9,43,NA
USC00136910,2018-08-01,0,48,NA
USC00136910,2018-08-02,13,71,NA
USC00136910,2018-08-03,22,48,NA
USC00136910,2018-08-04,22,71,NA
USC00136910,2018-08-05,40,79,NA
