Location,Station,Date,avg_temp,avg_humid,avg_dew,avg_wind,avg_gust,precip
Backbone Beach,KIAINDEP3,2018-05-22,67.1,82,61.1,1.2,5.2,0
Backbone Beach,KIAINDEP3,2018-06-19,73.9,93,71.7,1,4.5,0.85
Backbone Beach,KIAINDEP3,2018-08-21,65.3,90,62.2,1.9,8.9,0
Backbone Beach,KIAINDEP3,2018-07-10,79.3,73,69.2,0.9,4.2,0
Backbone Beach,KIAINDEP3,2018-08-28,75.2,89,71.7,1.7,7.8,0.56
Backbone Beach,KIAINDEP3,2018-08-14,74.8,86,70.3,0.1,1,0
Backbone Beach,KIAINDEP3,2018-08-07,69,95,67.5,0.2,1.7,0.22
Backbone Beach,KIAINDEP3,2018-07-24,74.4,76,65.2,1.7,7.5,0
Backbone Beach,KIAINDEP3,2018-07-31,69.7,82,63,0.6,2.8,0.12
Backbone Beach,KIAINDEP3,2018-07-02,73,79,65.6,0.4,2.8,0
Backbone Beach,KIAINDEP3,2018-06-12,71.8,88,67.8,1,4.9,0
Backbone Beach,KIAINDEP3,2018-07-17,75.2,73,65.1,1,4.6,0
Backbone Beach,KIAINDEP3,2018-05-29,81.2,67,68.3,1,4.6,0
Backbone Beach,KIAINDEP3,2018-06-26,72.8,86,68,1.1,6.2,0.27
Backbone Beach,KIAINDEP3,2018-06-05,76.5,60,60.3,2.7,9.4,0
Backbone Beach,KIAINDEP3,2019-06-25,72.5,72,61.6,3.2,9,0.01
Backbone Beach,KIAINDEP3,2019-07-01,78.2,83,72.3,0.7,4,0
Backbone Beach,KIAINDEP3,2019-07-09,77,78,69.5,1.5,6,0
Backbone Beach,KIAINDEP3,2019-07-16,76.7,82,70.2,1,3.6,0.02
Backbone Beach,KIAINDEP3,2019-07-23,71.4,69,59.8,2.1,7.3,0
Backbone Beach,KIAINDEP3,2019-07-30,68.9,70,57.6,2,7.4,0
Backbone Beach,KIAINDEP3,2019-08-06,73.3,81,65.8,1.3,5.4,0.01
Backbone Beach,KIAINDEP3,2019-08-20,73.4,86,68.5,1.5,5.9,0.42
Backbone Beach,KIAINDEP3,2019-08-27,64.6,70,53.9,5.3,14.4,0
Backbone Beach,KIAINDEP3,2019-08-13,73.9,86,68.6,1.7,6.7,0.01
Backbone Beach,KIAINDEP3,2020-05-19,54.7,89,51.4,4.4,11.2,0
Backbone Beach,KIAINDEP3,2020-05-26,73.7,82,67.3,1.9,6.2,0.04
Backbone Beach,KIAINDEP3,2020-06-02,80.4,65,66.5,2.6,8.2,0
Backbone Beach,KIAINDEP3,2020-06-09,70.9,75,61.8,2,6.4,0.52
Backbone Beach,KIAINDEP3,2020-06-16,72.5,51,52.7,1,3.6,0
Backbone Beach,KIAINDEP3,2020-06-23,70.4,85,65.5,0.4,2.2,0.1
Backbone Beach,KIAINDEP3,2020-06-30,NA,NA,NA,NA,NA,NA
Backbone Beach,KIAINDEP3,2020-07-06,68,95,66.5,1.2,5,0.73
Backbone Beach,KIAINDEP3,2020-07-13,73.8,79,66.1,0.5,2.4,0
Backbone Beach,KIAINDEP3,2020-07-21,70.7,89,67,0.3,2.2,0.48
Backbone Beach,KIAINDEP3,2020-07-28,75.7,68,63.2,2,5.5,0
Backbone Beach,KIAINDEP3,2020-08-04,63.9,68,51.6,1,3.3,0
Backbone Beach,KIAINDEP3,2020-08-11,68.4,74,58.3,0.5,1.8,0
Backbone Beach,KIAINDEP3,2020-08-17,72.6,69,60.6,1.9,5.7,0
Backbone Beach,KIAINDEP3,2020-08-25,80.3,72,69.1,0.9,2.7,0
Backbone Beach,KIAINDEP3,2020-09-01,62.1,79,54.8,0.9,3.3,0
Beed's Lake Beach,KIAHAMPT3,2018-08-15,78.9,77,70.9,1.3,0,0
Beed's Lake Beach,KIAHAMPT3,2018-06-13,71.2,59,53.9,3.3,0,0
Beed's Lake Beach,KIAHAMPT3,2018-08-08,74.3,79,66.8,2.6,0,0.01
Beed's Lake Beach,KIAHAMPT3,2018-08-29,62.4,79,55.1,3.3,0,0
Beed's Lake Beach,KIAHAMPT3,2018-05-23,72.7,77,64.5,4.1,0,1.09
Beed's Lake Beach,KIAHAMPT3,2018-08-22,70.8,63,56.2,1.9,0,0
Beed's Lake Beach,KIAHAMPT3,2018-07-03,77.8,77,69.7,5.2,0,0
Beed's Lake Beach,KIAHAMPT3,2018-05-30,75,73,64.8,3.6,0,0.21
Beed's Lake Beach,KIAHAMPT3,2018-08-01,72.7,74,63.5,3.5,0,0
Beed's Lake Beach,KIAHAMPT3,2018-06-20,71.8,91,68.8,6,20.2,0
Beed's Lake Beach,KIAHAMPT3,2018-06-06,72,74,62.9,4,20.3,0.02
Beed's Lake Beach,KIAHAMPT3,2018-07-25,73.7,73,63.8,3.4,0,0.12
Beed's Lake Beach,KIAHAMPT3,2018-07-18,74.7,73,65,2.6,0,0
Beed's Lake Beach,KIAHAMPT3,2018-07-11,79.4,76,70.9,4.4,0,0
Beed's Lake Beach,KIAHAMPT3,2018-06-27,73.6,79,66.3,1.8,0,0
Beed's Lake Beach,KIAHAMPT3,2019-06-25,73.4,68,60.7,3.5,0,0.03
Beed's Lake Beach,KIAHAMPT3,2019-07-01,80.4,79,72.7,4.3,0,0
Beed's Lake Beach,KIAHAMPT3,2019-07-09,75.5,83,69.7,3.9,18.1,0.29
Beed's Lake Beach,KIAHAMPT3,2019-07-16,77.5,85,72.4,2.9,0,0.01
Beed's Lake Beach,KIAHAMPT3,2019-07-23,70.9,71,59.9,3.8,0,0
Beed's Lake Beach,KIAHAMPT3,2019-07-30,68.5,74,58.7,2.5,0,0
Beed's Lake Beach,KIAHAMPT3,2019-08-06,74,78,65.3,2.3,0,0.01
Beed's Lake Beach,KIAHAMPT3,2019-08-20,75.2,87,70.5,3.5,24.7,1.17
Beed's Lake Beach,KIAHAMPT3,2019-08-27,66.4,74,56.6,5.6,19.5,0
Beed's Lake Beach,KIAHAMPT3,2019-08-13,72.7,85,67.3,3.2,0,0
Beed's Lake Beach,KIAHAMPT3,2020-05-20,59.3,91,56.5,6.4,19.1,0
Beed's Lake Beach,KIAHAMPT3,2020-05-27,73.9,85,68.5,2.5,0,0
Beed's Lake Beach,KIAHAMPT3,2020-06-03,79.4,61,62.3,3.5,0,0
Beed's Lake Beach,KIAHAMPT3,2020-06-10,66.4,74,56.8,11,26,0.32
Beed's Lake Beach,KIAHAMPT3,2020-06-17,77,60,61.3,5.3,18.6,0
Beed's Lake Beach,KIAHAMPT3,2020-06-24,73.5,67,61.2,2.3,0,0.01
Beed's Lake Beach,KIAHAMPT3,2020-06-30,74.9,81,68.2,4.2,18.6,0
Beed's Lake Beach,KIAHAMPT3,2020-07-08,83.9,69,71.9,2.9,0,0
Beed's Lake Beach,KIAHAMPT3,2020-07-14,69,76,60.8,2.4,0,0.04
Beed's Lake Beach,KIAHAMPT3,2020-07-22,69.3,73,59.5,4.2,0,0
Beed's Lake Beach,KIAHAMPT3,2020-07-29,77.9,69,66.2,1.3,0,0
Beed's Lake Beach,KIAHAMPT3,2020-08-05,65.5,65,52.6,3,4.4,0
Beed's Lake Beach,KIAHAMPT3,2020-08-12,71.7,82,65.6,4.9,6.9,0
Beed's Lake Beach,KIAHAMPT3,2020-08-19,69.8,65,56.6,3.1,4.8,0
Beed's Lake Beach,KIAHAMPT3,2020-08-26,81.8,62,66.4,5.1,8.3,0
Beed's Lake Beach,KIAHAMPT3,2020-09-02,72,60,52.8,4,6.3,0
Big Creek Beach,KIAPOLKC12,2018-08-27,82,74,72.5,4.1,6.4,0.82
Big Creek Beach,KIAPOLKC12,2018-08-07,74.8,81,68.1,1.1,1.8,0
Big Creek Beach,KIAPOLKC7,2018-05-22,69.5,79,62.2,2.6,0,0
Big Creek Beach,KIAPOLKC12,2018-08-20,69.1,93,67.1,2.7,4.8,2.11
Big Creek Beach,KIAPOLKC12,2018-08-14,73.6,81,67.1,1.1,1.8,0
Big Creek Beach,KIAPOLKC7,2018-06-12,81.1,72,70.5,2.1,0,0
Big Creek Beach,KIAPOLKC12,2018-07-31,76,65,61.8,1.2,2,0
Big Creek Beach,KIAPOLKC7,2018-06-05,77.6,59,60.9,3.4,0,0
Big Creek Beach,KIAPOLKC12,2018-06-19,74,89,70.4,1.6,2.5,1.09
Big Creek Beach,KIAPOLKC7,2018-05-29,79.1,68,65.9,4.5,0,0.31
Big Creek Beach,KIAPOLKC12,2018-07-24,76.2,65,62.5,1.9,3.2,0
Big Creek Beach,KIAPOLKC12,2018-07-10,82.4,76,73.7,1.3,2,0
Big Creek Beach,KIAPOLKC12,2018-06-26,70.5,85,65.5,1.5,2.5,0.8
Big Creek Beach,KIAPOLKC12,2018-07-17,79.8,60,63.6,0.9,1.5,0
Big Creek Beach,KIAPOLKC12,2018-07-02,75.3,73,64.9,2.3,3.6,0
Big Creek Beach,KIAPOLKC7,2019-06-26,73.7,79,66.3,1.5,2,0
Big Creek Beach,KIAPOLKC7,2019-07-02,80.6,75,71.4,3.3,3.7,0.03
Big Creek Beach,KIAPOLKC7,2019-07-10,76.7,73,66.4,4.2,4.7,0
Big Creek Beach,KIAPOLKC7,2019-07-17,75,85,70,4,5.1,0.88
Big Creek Beach,KIAPOLKC7,2019-07-24,70.9,73,60.9,1.2,1.3,0
Big Creek Beach,KIAPOLKC7,2019-07-31,64.8,84,59.7,2,2.7,0.12
Big Creek Beach,KIAPOLKC7,2019-08-07,76.7,74,66.8,1.7,2.5,0
Big Creek Beach,KIAPOLKC7,2019-08-21,70.7,91,67.7,2.4,3.5,0.03
Big Creek Beach,KIAPOLKC7,2019-08-28,65.2,70,53.9,2.2,3.6,0
Big Creek Beach,KIAPOLKC7,2019-08-14,67.6,80,61.1,3.2,4.7,0
Big Creek Beach,KIAPOLKC7,2020-05-20,59.3,89,56,6.5,8,0
Big Creek Beach,KIAPOLKC7,2020-05-27,71.5,82,65.4,3,4,0
Big Creek Beach,KIAPOLKC7,2020-06-03,80.4,64,66.1,3.1,4.3,0.01
Big Creek Beach,KIAPOLKC7,2020-06-10,65.5,74,56.1,8.8,12.2,0.56
Big Creek Beach,KIAPOLKC7,2020-06-17,74.9,63,61.4,7.1,8.8,0
Big Creek Beach,KIAPOLKC7,2020-06-24,70.1,72,59,1.6,2.3,0
Big Creek Beach,KIAPOLKC7,2020-06-29,81.5,79,74.1,5.7,7.3,0
Big Creek Beach,KIAPOLKC7,2020-07-07,81.6,76,72.5,1.4,2,0
Big Creek Beach,KIAPOLKC7,2020-07-13,82.5,66,70,5.9,7.8,0
Big Creek Beach,KIAPOLKC7,2020-07-20,72.6,82,66.7,1.3,1.8,0.04
Big Creek Beach,KIAPOLKC7,2020-07-27,76.3,74,66.5,2,2.9,0
